Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1892,23.2,25.2,28,43.4,53.8,67.7,68.8,66.9,58.4,48.3,36.6,23.4
1893,13.2,21.6,30.1,40.7,54.9,68,67.4,67.7,55.7,50.4,36.2,26.9
1894,26.1,22.5,37.2,46.5,57,66.2,69.2,62.2,61,50,33.2,27.1
1895,20.9,16.8,28.2,43.4,58.2,68.2,67.1,67.6,61.7,43.6,38.7,29.9
1896,21.1,24.2,26,47.1,59.3,63.8,70.9,67.6,58.8,48.4,42.2,24.9
1897,23.4,24.2,33,45,55.6,61.5,70.4,63.9,57.2,49.3,36.7,27.5
1898,21.6,24.8,37.7,41.5,55,65.1,69,66.6,60.1,50.8,35.8,26.6
1899,20.7,19.6,28.3,43.8,55.8,66.1,68,66.2,57.5,50.4,36.3,33.2
1900,25,23.9,26.7,44.6,55.3,66.6,70.1,68.8,63.2,53,39.8,25.6
1901,22,16.2,30.6,45.8,55.6,66,70.2,69,60,48.8,31.4,25.2
1902,21.2,21.6,38.2,46,54.7,61.6,66.6,63.8,59.4,49,42.2,22.5
1903,24.2,27,41.6,45.2,58.4,59.6,67.2,60.4,59.2,49.7,33.4,21.6
1904,14.7,16,30,40.7,59.6,64.8,66.8,62.2,57.3,46.2,32,19.7
1905,18,15.5,30.8,44.4,56.1,62.9,69.6,63.9,58.2,49,35.2,29.2
1906,29.6,22.2,26.3,43.6,55.4,65,68.6,68.5,61.2,49.9,36,23.8
1907,22.5,15.2,34.2,40.1,50.8,62.1,68.7,64,60.2,44.2,37.1,30.8
1908,24.8,19.1,33.4,43.7,58.2,64.7,70.5,65.1,61.8,50.8,38.5,26.9
1909,25.1,27.7,30.3,43.8,54.9,64.7,66.8,64.7,58.9,46.5,41,23.3
1910,24.7,21,39,49.2,55,62.2,70.2,65.4,59.6,51,34.6,19.9
1911,26.6,24.1,29.7,42.2,62.8,62.8,71.9,67.4,58.5,47.7,35.3,32.8
1912,14.8,18.5,28.2,44.6,57.5,62.2,69.5,64.2,59.4,50.3,39.1,32.5
1913,33.8,21.3,37.8,46.9,54.5,64.8,69,66.9,57.7,53.4,41.7,29.8
1914,21.9,14.9,31,41.5,57.7,63.6,67.5,67.1,57.8,52.7,35.4,24.7
1915,26.1,27.8,28.9,49.5,52.2,63.7,68.3,64.8,63.2,50.3,38.7,26.2
1916,25.8,19.3,22.3,43.7,56,61,71.3,68.9,59.4,49.5,36.8,25.8
1917,23.2,18.8,31.6,42.7,47.7,64.3,70,70.1,55.8,45.8,32.6,16.5
1918,11.5,20.1,32.7,44.1,61.8,61.2,68.7,68.6,56.5,51.4,39.8,30.5
1919,27.1,26.4,36.2,43,56.2,68.1,68.2,64.8,60.3,50.9,37.2,20.4
1920,13.4,20.2,32.3,41.1,53,62.8,66.8,68.9,61,54.4,35.8,29.2
1921,25.6,26.4,42,50.7,57.6,64.4,72.5,62.3,62.1,49.6,37.5,23.5
1922,18.6,25.6,33.8,43.6,58.2,67,69.2,66.4,60.9,48.4,37.8,26.2
1923,19.2,16.4,27.3,44.1,53.4,66,66.1,65.3,61,48.3,37.9,34.7
1924,25.2,16.9,32.1,42,51.8,63.4,68.7,66.5,56.7,47.5,38.7,23.7
1925,17.5,30.4,37.1,45.8,50.7,67.7,66.7,66.6,60,42.6,37.6,27.2
1926,23.8,20.7,26.1,39,54.2,60.6,68.8,68.1,58.8,46.2,38.3,20
1927,20.6,28.4,35.4,43.5,52.5,61,69,63.3,57.2,52.1,42.3,27.3
1928,25.4,23.4,31.1,41.5,54.3,62.5,71.4,70,57.1,50.4,39.1,31.1
1929,22.1,22.3,36.4,44.5,56.1,66.3,68.7,64.9,62,47.1,38.1,27
1930,25.3,26.3,32.9,42.9,58.2,69.5,68.8,66.8,62.5,47.4,38.9,27.9
1931,21.1,22.3,33.9,45.7,57.6,65.7,72.8,67.6,62.8,51.5,44.7,31
1932,34.1,26.9,28.3,42.5,57.4,64.8,67.6,67.2,59.8,51.9,36.1,30.3
1933,31.6,26.4,29.9,45.5,59.6,67.2,71.4,67.7,61.4,47.9,32.8,23.5
1934,24.4,9.8,30.1,45.6,58.7,67.8,70.9,64.5,63.5,46.3,41.4,24.5
1935,18.4,21.8,34.5,43.2,52,65.4,71.6,67.4,46.5,49.2,42.1,21.8
1936,21,17.4,40.1,42.3,60,66.2,69.4,67.6,60.8,49.1,33.8,30.9
1937,31.5,27.4,27.9,43.7,58,66.4,71.1,72.3,57.9,43.2,38.5,25.3
1938,21.3,27.1,36.1,48.3,55.1,66.4,70.9,70.8,57.3,51.6,40.5,28.8
1939,22.3,27.2,28.8,41.2,59.5,66.7,70.1,70.7,60.8,49.5,34.4,27.1
1940,14.4,22.5,27.2,40.6,57.9,64.8,69.3,65.4,57.8,44.4,38.3,29.4
1941,18.9,22.8,27.4,50.9,57.6,67,71.4,65.5,60.8,50.8,42.8,30.7
1942,22.7,20.1,37.3,49.2,60.6,66.6,69.1,66.4,60.6,50.4,38.1,20.6
1943,19,21,29,43,53,72,71,68,58,48,35,20
1944,24,21,28,40,62,65,72,67,61,48,37,21
1945,14,22,40,49,54,68,73,68,64,47,39,21
1946,21,20,42,43,56,68,74,66,62,51,43,27
1947,26,20,30,42,55,63,72,72,61,57,36,22
1948,16,20,31,46,54,64,73,70,60,49,44,29
1949,29,27,32,47,58,71,76,71,59,55,38,29
1950,21,22.2,31.6,44.4,54.7,64.4,69,66.6,59.4,49.2,38.2,25.3
1951,25.1,27.2,32.8,44.2,55.1,63,68.1,64.9,57.9,50,31.7,24.9
1952,25.6,23.3,29,44.7,50.2,64.5,70.7,67.6,60,45.9,38.3,27.8
1953,26.6,26.8,33.3,44,57.3,64.8,68.6,66.4,60,50.5,40.8,31.5
1954,18.8,28.2,31.8,45.4,53.2,64.8,66.8,64,56.4,52.5,37.8,25.7
1955,19.9,24.2,30.7,45.8,57.7,62.7,72.1,69.7,57.9,50,37,20.3
1956,24.9,24.2,25.2,39.8,49.9,65.3,66.1,66.2,55.7,48.8,38.7,30.6
1957,16.5,27.3,34.6,47.4,55.1,68.7,68.3,64.3,60.8,48.1,41,33
1958,23.6,17.5,34.9,45.7,52.4,60,69.2,66.7,59.6,47.3,40.4,18.6
1959,20.4,19.6,30,45.5,58.5,64.4,70.9,69.6,62,50,38.4,29.9
1960,21.9,26.5,23.9,46.8,57.8,63.8,66,65.7,59.4,46.7,40.4,19.4
1961,14.5,23.4,31.6,40.7,53.2,63.6,67.6,66.4,66.8,52.2,39.8,26.4
1962,21,18.6,31.7,44.7,55.1,64.6,65.7,65.9,56.4,48,34.9,22.5
1963,18.3,14.1,31.9,42.9,54,64.5,69.5,63.6,55.2,53.7,42.5,19.6
1964,22.6,20.1,32.8,42.4,58.5,63.1,69.4,61.5,58.3,47.3,40.9,26.6
1965,19.2,20.8,30.5,40.9,58,62.3,65.6,66.5,59.5,46.5,35.4,29.1
1966,21,21.9,32.1,41,51.2,64.4,68.7,66.4,57.1,47.5,41.4,26.7
1967,25.9,18.5,26.8,41.2,48.2,67.2,69.2,67.3,59.1,49.5,34.3,28
1968,17,18.9,34,49,52.8,62.9,70.2,65.7,62,51.9,36.6,22.6
1969,20.5,24.7,29.7,46,54.7,64.6,67.5,68.3,61.5,49.1,39.2,23.9
1970,13.4,21.2,29.4,43,57.8,63.9,70.2,68.3,60.9,51.7,40.2,23.4
1971,15.7,22.2,28.6,39.5,53.1,65,67.8,66.4,62.6,55.6,36.1,29.1
1972,22.2,18.6,28.6,39.2,56.1,62.5,69.5,65.6,60.1,45.1,34.5,27.9
1973,24.8,21.6,38.2,46.5,53.3,66.1,69.8,70.8,58.8,49.9,39.2,29.7
1974,25.5,20.6,30.7,45.3,52.8,63.1,68.6,67.1,57.5,43.4,40,29.1
1975,24.2,23.6,29.2,38.5,59.7,63.2,72.1,68.5,57.3,51.2,43.8,25.7
1976,15.1,27.3,33.1,47.5,53.2,68.6,66.5,66,57.1,45.4,34.3,19.1
1977,13.6,21.8,36.3,45.2,57.8,60.7,66.4,64.8,57.7,45.8,39.5,21.5
1978,19.2,14.2,27,40.8,54.9,61.5,66.5,67,55.8,46.1,38.8,25.8
1979,21,12.8,36,42.8,57.7,62.7,69.4,67.1,58.8,48.8,43.3,29.7
1980,24.3,19.5,30.3,44.9,56.5,60.9,69.7,69.4,60.5,46,34.7,20.6
1981,13.7,28.4,32.5,46.8,57.2,64.2,69.8,67,58.5,44.9,38.8,26.2
1982,11.8,22.7,28.6,40.7,58.7,61.1,68.6,63.8,60.3,48.8,42.2,33.6
1983,24.4,25.7,38,45.2,55.3,66.5,71,72,64.9,53,39.7,23.8
1984,18.4,29.8,24.5,46.7,55.3,65,66.4,67.9,57.9,52.1,36,32.3
1985,16.9,25.1,34.1,46.1,59.3,61.7,70.4,67.3,61.4,56.6,40.3,24.2
1986,21.7,21.9,41.3,51.6,60.6,64.7,71,68.7,60.6,49.4,32.5,26.3
1987,18.3,18.1,33.6,47.2,55.7,63.9,69,63,58,45.9,37.8,28.4
1988,20.2,23.7,32.4,42.9,56.3,60.2,70,68.1,63.1,43.8,39,24.7
1989,27.1,23.1,32.6,47,61.2,67.8,70.7,65.9,60,49.4,36.9,12.5
1990,31.3,27.5,35.9,46.3,52.6,64.1,68.1,67.3,57.8,51.9,39.6,32
1991,22.6,28.4,35.7,50.1,61.5,65.5,67.7,67.6,57.1,50.3,38.9,27.9
1992,24.1,25.9,31.3,43,56,62.6,64.9,65,58.7,44.3,36.6,40.9
1993,27.3,18.3,31.3,46.2,56.5,65,68.5,67.8,55.3,46.3,37.8,25.7
1994,13.6,19.2,32.9,47.1,55,66.6,69.5,64.4,57.5,46.4,41.4,29.8
1995,28.5,20.7,35.3,41.6,54.3,64.1,69.8,66,54.8,50.7,34.1,21.7
1996,19.8,23,28.8,43.6,53,64.7,66,65.7,58.3,47,32.8,32.1
1997,21.7,28.7,31.2,42.2,50.9,64.4,66.5,64.5,57,45.9,34.3,27.9
1998,28.5,30.6,36.5,46.4,59.8,62.8,66.9,66.5,59.9,49.3,38.1,33.2
1999,22,27.4,32.3,45.3,57.4,65.6,70,64.7,60.7,45.8,42,28.8
2000,18.7,27,38.1,42.9,56.5,62.4,63.6,63.9,56.9,47.2,36.4,20.9
2001,23.22,25.4,29.58,44.89,56.46,64.45,64.58,68.84,57.79,49.17,42.47,32.81
2002,29.38,29.83,35.34,47.1,52.22,62.99,68.64,66.66,60.68,45.01,36.34,25.79
2003,15.26,20.54,32.56,43.33,53.69,62.57,67.89,68.58,59.64,46.23,39.89,27.56
2004,12.71,23.35,35.26,46.26,51.82,61.86,67,66.14,60.15,47.31,38.05,26.9
2005,18.37,25.73,29,47.16,51.02,67.94,69.58,68.67,61.96,48.75,39.68,25.08
2006,30.2,25.2,33.1,46.4,55,64,70.9,65.6,57.5,46.5,42.8,34.4
2007,26.4,18.2,30.6,41.6,56.7,63.4,66,65.8,60,53.9,35.8,26.5
2008,25.7,25,31.3,48.3,52.6,65,68.1,63.1,59.5,44.9,37.1,27.8
2009,16.9,25.3,33.6,47.3,55.2,61.8,64.4,66.5,56.8,45.7,42.2,24.9
2010,22,26,39.3,49.6,58.9,63.9,70.2,67.1,61.2,48.2,37.5,23.2