Major,Division,2008-2012,2018-2021
American Studies,2,10,9
Anthropology,2,8,4
Arabic Studies,1,4,7
Art,1,55,31
Asian Studies,1,8,6
Astronomy,3,1,2
Astrophysics,3,3,3
Biology,3,58,61
Chemistry,3,30,34
Chinese,1,11,9
Classics,1,5,6
Comparative Literature,1,5,11
Computer Science,3,16,50
Economics,2,84,105
English,1,65,50
Environmental Policy,2,2,0
Environmental Studies,2,0,12
French,1,6,11
Geosciences,3,7,12
German,1,4,3
History,2,61,43
Japanese,1,3,3
Literary Studies,1,3,0
Mathematics,3,53,61
Music,1,8,7
Philosophy,2,19,16
Physics,3,12,13
Political Economy,2,16,13
Political Science,2,58,54
Psychology,3,62,45
Religion,2,8,5
Russian,1,2,2
Sociology,2,9,11
Spanish,1,8,10
Statistics,3,0,16
Theatre,1,8,5
Women's & Gender Studies,2,5,8