Binomial name,Genus,Common name,Diameter (inches),Density
Acer pensylvanicum,Acer,Striped maple,1.3,123
Acer rubrum,Acer,Red maple,12.1,6
Acer saccharum,Acer,Sugar maple,4,67
Amelanchier canadensis,Amelanchier,Bilberry,1,1
Betula lenta,Betula,Sweet birch,4.5,2
Betula papyrifera,Betula,Paper birch,13.2,9
Fagus grandifolia,Fagus,American beech,1.7,64
Fraxinus americana,Fraxinus,White ash,11.5,6
Ostrya virginiana,Ostrya,American hophornbeam,2,1
Quercus rubra,Quercus,Northern red oak,11.6,3